Species,Region,Licences,Days,Tonnes
Emperor - red throat,Mapstone - Cairns,N/A,N/A,N/A
Emperor - reticulated,Mapstone - Cairns,N/A,N/A,N/A
Emperor - spangled,Mapstone - Cairns,N/A,N/A,N/A
Fish - mixed reef,Mapstone - Cairns,5,17,0.2
Fish - mixed reef a,Mapstone - Cairns,8,62,2.3
Fish - unspecified,Mapstone - Cairns,55,1104,28.38
Flathead - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Flounder - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Garfish - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Gemfish,Mapstone - Cairns,N/A,N/A,N/A
Goat fish,Mapstone - Cairns,12,346,2.28
Grunter - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Jew fish - mulloway,Mapstone - Cairns,N/A,N/A,N/A
Jew fish - silver,Mapstone - Cairns,N/A,N/A,N/A
Kingfish - black,Mapstone - Cairns,N/A,N/A,N/A
Kingfish - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Kingfish - yellowtail,Mapstone - Cairns,N/A,N/A,N/A
Lobster - champagne (red),Mapstone - Cairns,23,67,0.24
Lobster - cray tails,Mapstone - Cairns,8,14,0.18
Lobster - slipper,Mapstone - Cairns,5,11,0.02
Lobster - unspecified,Mapstone - Cairns,11,48,0.44
Mackerel - grey,Mapstone - Cairns,7,23,0.3
Mackerel - school,Mapstone - Cairns,N/A,N/A,N/A
Mackerel - spanish,Mapstone - Cairns,5,27,1.15
Mackerel - unspecified,Mapstone - Cairns,26,190,4.74
Mangrove jack,Mapstone - Cairns,N/A,N/A,N/A
Mantis shrimp - unspecified,Mapstone - Cairns,35,726,1.74
Nannygai - large mouth,Mapstone - Cairns,N/A,N/A,N/A
Nannygai - unspecified,Mapstone - Cairns,6,11,0.57
Octopus - unspecified,Mapstone - Cairns,157,7264,13.34
Perch - moses,Mapstone - Cairns,N/A,N/A,N/A
Perch - pearl,Mapstone - Cairns,N/A,N/A,N/A
Pink fish,Mapstone - Cairns,N/A,N/A,N/A
Pipehorse - dunkers,Mapstone - Cairns,N/A,N/A,N/A
Pipehorse - pallid,Mapstone - Cairns,6,18,0
Pomfret - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Prawn -  red spot & blue leg k,Mapstone - Cairns,125,2603,56.05
Prawn - banana,Mapstone - Cairns,292,6391,417.21
Prawn - bay,Mapstone - Cairns,60,538,9.89
Prawn - blue leg king,Mapstone - Cairns,144,16144,330.77
Prawn - coral,Mapstone - Cairns,31,770,6.34
Prawn - eastern king,Mapstone - Cairns,161,5306,122.23
Prawn - endeavour,Mapstone - Cairns,492,222375,"13,384.10"
Prawn - greasy,Mapstone - Cairns,9,11,0.29
Prawn - hardback,Mapstone - Cairns,N/A,N/A,N/A
Prawn - japanese king,Mapstone - Cairns,N/A,N/A,N/A
Prawn - king,Mapstone - Cairns,372,31350,630.63
Prawn - leader,Mapstone - Cairns,118,3154,53.15
Prawn - mixed bait,Mapstone - Cairns,6,6,0.7
Prawn - red spot king,Mapstone - Cairns,146,3254,67.39
Prawn - royal red,Mapstone - Cairns,N/A,N/A,N/A
Prawn - school,Mapstone - Cairns,5,12,0.65
Prawn - tiger,Mapstone - Cairns,495,226345,"19,659.63"
Prawn - unspecified,Mapstone - Cairns,138,3320,191.3
Scallop - mud,Mapstone - Cairns,128,5486,123.31
Scallop - queen,Mapstone - Cairns,N/A,N/A,N/A
Scallop - saucer,Mapstone - Cairns,85,865,25.11
Scallop - unspecified,Mapstone - Cairns,19,108,8.49
Seahorse - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Shark - angel unspecified,Mapstone - Cairns,N/A,N/A,N/A
Shark - eastern shovel nose,Mapstone - Cairns,N/A,N/A,N/A
Shark - fins unspecified,Mapstone - Cairns,N/A,N/A,N/A
Shark - unspecified,Mapstone - Cairns,55,1038,46.22
Snapper - unspecified tropical,Mapstone - Cairns,N/A,N/A,N/A
Squid - unspecified,Mapstone - Cairns,294,26692,72.77
Steelback,Mapstone - Cairns,N/A,N/A,N/A
Sweetlip - unspecified,Mapstone - Cairns,7,13,0.31
Threadfin - blue,Mapstone - Cairns,N/A,N/A,N/A
Threadfin - king,Mapstone - Cairns,N/A,N/A,N/A
Trevally - black,Mapstone - Cairns,N/A,N/A,N/A
Trevally - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Tuna - albacore,Mapstone - Cairns,6,6,0.28
Tuna - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Tusk fish - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Unknown,Mapstone - Cairns,36,689,4.55
Whiptail - false,Mapstone - Cairns,N/A,N/A,N/A
Whiting - stout,Mapstone - Cairns,N/A,N/A,N/A
Whiting - trumpeter,Mapstone - Cairns,10,78,0.15
Whiting - unspecified,Mapstone - Cairns,22,295,18.89
Wrasse - unspecified,Mapstone - Cairns,N/A,N/A,N/A
Amberjack,Great barrier reef marine park,17,22,0.79
Bait fish,Great barrier reef marine park,35,253,5.1
Barramundi,Great barrier reef marine park,7,27,1.08
Bat fish - hump headed,Great barrier reef marine park,N/A,N/A,N/A
Bream - black (luderick),Great barrier reef marine park,N/A,N/A,N/A
Bream - bony (herring),Great barrier reef marine park,N/A,N/A,N/A
Bream - unspecified,Great barrier reef marine park,6,11,0.04
Bug - honey,Great barrier reef marine park,45,250,8.06
Bugs - Balmain,Great barrier reef marine park,417,55489,535.3
Bugs - moreton bay,Great barrier reef marine park,728,592404,"14,303.34"
Bugs - unspecified,Great barrier reef marine park,332,16616,242.56
Butter fish - striped,Great barrier reef marine park,N/A,N/A,N/A
Butterflybream -  unspecified,Great barrier reef marine park,233,22173,198.44
Cod - bar,Great barrier reef marine park,N/A,N/A,N/A
Cod - coral,Great barrier reef marine park,N/A,N/A,N/A
Cod - greasy,Great barrier reef marine park,N/A,N/A,N/A
Cod - maori,Great barrier reef marine park,5,43,0.62
Cod - unspecified,Great barrier reef marine park,102,343,4.5
Coral trout,Great barrier reef marine park,179,2042,53.12
Crab - blue swimmer,Great barrier reef marine park,581,85386,449.03
Crab - coral,Great barrier reef marine park,10,50,0.32
Crab - Mud,Great barrier reef marine park,75,474,12.07
Crab - spanner,Great barrier reef marine park,11,76,16.12
Crab - three spot,Great barrier reef marine park,202,2462,18.66
Crab - unspecified,Great barrier reef marine park,476,37241,418.98
Cuttlefish,Great barrier reef marine park,470,105663,446.45
Dart - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Dolphin fish,Great barrier reef marine park,N/A,N/A,N/A
Emperor - red,Great barrier reef marine park,84,486,12.57
Emperor - red throat,Great barrier reef marine park,37,359,6.27
Emperor - reticulated,Great barrier reef marine park,N/A,N/A,N/A
Emperor - spangled,Great barrier reef marine park,30,186,2.7
Fish - mixed reef,Great barrier reef marine park,18,129,4.34
Fish - mixed reef a,Great barrier reef marine park,85,969,23.02
Fish - mixed reef b,Great barrier reef marine park,8,81,0.88
Fish - unspecified,Great barrier reef marine park,289,6739,132.33
Fish - wings unspecified,Great barrier reef marine park,N/A,N/A,N/A
Flathead - unspecified,Great barrier reef marine park,35,292,1.27
Flounder - unspecified,Great barrier reef marine park,5,198,0.61
Garfish - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Gemfish,Great barrier reef marine park,N/A,N/A,N/A
Goat fish,Great barrier reef marine park,46,831,6.08
Grinners,Great barrier reef marine park,N/A,N/A,N/A
Grunter - unspecified,Great barrier reef marine park,9,39,2.42
Herring - wolf,Great barrier reef marine park,N/A,N/A,N/A
Hussar - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Jew fish - mulloway,Great barrier reef marine park,62,442,11.52
Jew fish - silver,Great barrier reef marine park,16,42,2.95
Jew fish - unspecified,Great barrier reef marine park,31,124,6.26
Jobfish - gold banded,Great barrier reef marine park,N/A,N/A,N/A
Jobfish - green,Great barrier reef marine park,N/A,N/A,N/A
Jobfish - rosy,Great barrier reef marine park,5,29,0.53
Jobfish - unspecified,Great barrier reef marine park,15,52,2.18
Kingfish - black,Great barrier reef marine park,23,43,0.83
Kingfish - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Kingfish - yellowtail,Great barrier reef marine park,N/A,N/A,N/A
Leather jacket/triggerfish,Great barrier reef marine park,N/A,N/A,N/A
Lobster - champagne (red),Great barrier reef marine park,164,24333,520.16
Lobster - cray tails,Great barrier reef marine park,67,451,40.88
Lobster - slipper,Great barrier reef marine park,79,527,4.86
Lobster - tropical rock,Great barrier reef marine park,43,713,7.01
Lobster - unspecified,Great barrier reef marine park,113,2346,169.4
Mackerel - grey,Great barrier reef marine park,37,233,4.59
Mackerel - school,Great barrier reef marine park,N/A,N/A,N/A
Mackerel - shark,Great barrier reef marine park,N/A,N/A,N/A
Mackerel - spanish,Great barrier reef marine park,34,531,18.74
Mackerel - spotted,Great barrier reef marine park,N/A,N/A,N/A
Mackerel - unspecified,Great barrier reef marine park,92,677,16.54
Mangrove jack,Great barrier reef marine park,12,29,0.43
Mantis shrimp - unspecified,Great barrier reef marine park,111,1720,9.72
Mullet - fantail/silver,Great barrier reef marine park,N/A,N/A,N/A
Mullet - tiger / flat tail,Great barrier reef marine park,N/A,N/A,N/A
Mullet - unspecified,Great barrier reef marine park,9,24,0.88
Nannygai - large mouth,Great barrier reef marine park,38,135,2.78
Nannygai - small mouth,Great barrier reef marine park,N/A,N/A,N/A
Nannygai - unspecified,Great barrier reef marine park,22,45,2.53
Octopus - unspecified,Great barrier reef marine park,372,28402,74.62
Painted sweetlip,Great barrier reef marine park,9,23,0.33
Perch - moses,Great barrier reef marine park,N/A,N/A,N/A
Perch - pearl,Great barrier reef marine park,10,48,0.57
Pilchard/sardine - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Pink fish,Great barrier reef marine park,N/A,N/A,N/A
Pipehorse - dunkers,Great barrier reef marine park,179,13811,2.79
Pipehorse - pallid,Great barrier reef marine park,186,10709,3.77
Pomfret - unspecified,Great barrier reef marine park,10,12,0.15
Prawn -  red spot & blue leg k,Great barrier reef marine park,384,27187,"1,621.56"
Prawn - banana,Great barrier reef marine park,719,83138,"12,692.39"
Prawn - bay,Great barrier reef marine park,404,5439,189.17
Prawn - blue leg king,Great barrier reef marine park,324,63778,"2,918.90"
Prawn - clicker,Great barrier reef marine park,10,51,0.9
Prawn - coral,Great barrier reef marine park,526,46724,"1,188.79"
Prawn - eastern king,Great barrier reef marine park,433,112631,"16,884.99"
Prawn - endeavour,Great barrier reef marine park,718,567591,"27,732.44"
Prawn - greasy,Great barrier reef marine park,77,515,24.74
Prawn - hardback,Great barrier reef marine park,9,439,15.29
Prawn - japanese king,Great barrier reef marine park,9,101,10.52
Prawn - king,Great barrier reef marine park,728,269023,"15,530.24"
Prawn - leader,Great barrier reef marine park,293,11421,223.48
Prawn - mixed bait,Great barrier reef marine park,52,359,6.32
Prawn - red,Great barrier reef marine park,19,36,0.67
Prawn - red spot king,Great barrier reef marine park,376,87622,"5,462.06"
Prawn - royal red,Great barrier reef marine park,11,89,21.71
Prawn - scarlet,Great barrier reef marine park,8,113,13.26
Prawn - school,Great barrier reef marine park,60,190,10.38
Prawn - tiger,Great barrier reef marine park,751,604129,"46,574.74"
Prawn - unspecified,Great barrier reef marine park,436,14508,534.64
Queenfish - unspecified,Great barrier reef marine park,8,15,0.46
Queensland halibut,Great barrier reef marine park,N/A,N/A,N/A
Ray - eastern fiddler,Great barrier reef marine park,30,207,3.5
Ray - sting unspecified,Great barrier reef marine park,8,27,0.56
Samson fish,Great barrier reef marine park,N/A,N/A,N/A
Scad - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Scallop - mud,Great barrier reef marine park,410,20407,"1,304.83"
Scallop - queen,Great barrier reef marine park,N/A,N/A,N/A
Scallop - saucer,Great barrier reef marine park,627,213401,"15,342.88"
Scallop - unspecified,Great barrier reef marine park,246,8576,437.22
Seabream - Collar,Great barrier reef marine park,N/A,N/A,N/A
Seahorse - unspecified,Great barrier reef marine park,6,46,0.25
Shark - angel unspecified,Great barrier reef marine park,N/A,N/A,N/A
Shark - australian blacktip,Great barrier reef marine park,N/A,N/A,N/A
Shark - eastern shovel nose,Great barrier reef marine park,N/A,N/A,N/A
Shark - fins unspecified,Great barrier reef marine park,24,98,0.22
Shark - unspecified,Great barrier reef marine park,255,6447,206.98
Shark - wobbegong,Great barrier reef marine park,N/A,N/A,N/A
Snapper - unspecified tropical,Great barrier reef marine park,18,79,1.32
Snapper (squire),Great barrier reef marine park,21,98,6.14
Squid - unspecified,Great barrier reef marine park,633,136336,502.84
Steelback,Great barrier reef marine park,N/A,N/A,N/A
striped seapike,Great barrier reef marine park,N/A,N/A,N/A
Surf red fish,Great barrier reef marine park,N/A,N/A,N/A
Sweetlip - unspecified,Great barrier reef marine park,51,261,6.14
Tailor,Great barrier reef marine park,N/A,N/A,N/A
Threadfin - blue,Great barrier reef marine park,10,40,0.64
Threadfin - king,Great barrier reef marine park,N/A,N/A,N/A
Threadfin - unspecified,Great barrier reef marine park,8,32,0.19
Threadfin bream,Great barrier reef marine park,N/A,N/A,N/A
Trevally - black,Great barrier reef marine park,13,91,0.48
Trevally - unspecified,Great barrier reef marine park,36,92,2.23
Tuna - albacore,Great barrier reef marine park,10,10,0.53
Tuna - skipjack,Great barrier reef marine park,11,42,3.92
Tuna - unspecified,Great barrier reef marine park,9,41,2.25
Tuna - yellowfin,Great barrier reef marine park,N/A,N/A,N/A
Tusk fish - unspecified,Great barrier reef marine park,25,124,0.84
Unknown,Great barrier reef marine park,173,10167,703.48
Whiptail - false,Great barrier reef marine park,7,100,0.91
Whiting - stout,Great barrier reef marine park,30,139,68.05
Whiting - summer,Great barrier reef marine park,N/A,N/A,N/A
Whiting - trumpeter,Great barrier reef marine park,45,266,78.65
Whiting - unspecified,Great barrier reef marine park,172,1466,37.04
Wrasse - sling-jaw,Great barrier reef marine park,N/A,N/A,N/A
Wrasse - unspecified,Great barrier reef marine park,N/A,N/A,N/A
Yellowtail Scad,Great barrier reef marine park,N/A,N/A,N/A
Amberjack,East coast,37,107,2.67
Bait fish,East coast,65,451,14.93
Barramundi,East coast,11,31,1.36
Bat fish - hump headed,East coast,N/A,N/A,N/A
Blue eye trevalla,East coast,N/A,N/A,N/A
Bonito - unspecified,East coast,N/A,N/A,N/A
Bream - black (luderick),East coast,N/A,N/A,N/A
Bream - bony (herring),East coast,N/A,N/A,N/A
Bream - unspecified,East coast,24,78,1.46
Bream - yellowfinned,East coast,N/A,N/A,N/A
Bug - honey,East coast,113,1309,30.12
Bugs - Balmain,East coast,567,163245,"1,844.79"
Bugs - moreton bay,East coast,859,718558,"16,128.33"
Bugs - unspecified,East coast,441,20558,308.13
Butter fish - striped,East coast,13,60,0.21
Butterflybream -  unspecified,East coast,340,33414,280.42
Butterflybream - theodore's,East coast,N/A,N/A,N/A
Cod - bar,East coast,N/A,N/A,N/A
Cod - barramundi,East coast,N/A,N/A,N/A
Cod - coral,East coast,N/A,N/A,N/A
Cod - greasy,East coast,N/A,N/A,N/A
Cod - maori,East coast,8,47,0.66
Cod - unspecified,East coast,130,434,5.88
Coral trout,East coast,195,2111,54.56
Crab - blue swimmer,East coast,796,282769,"2,308.15"
Crab - coral,East coast,11,53,0.34
Crab - Mud,East coast,141,832,14.32
Crab - spanner,East coast,26,178,23.72
Crab - three spot,East coast,471,45105,422.9
Crab - unspecified,East coast,658,108507,"1,775.27"
Cuttlefish,East coast,652,206282,942.89
Dart - unspecified,East coast,N/A,N/A,N/A
Dolphin fish,East coast,N/A,N/A,N/A
Eel (marine),East coast,N/A,N/A,N/A
Emperor - red,East coast,96,531,13.29
Emperor - red throat,East coast,40,365,6.36
Emperor - reticulated,East coast,N/A,N/A,N/A
Emperor - spangled,East coast,33,210,2.9
Fish - mixed reef,East coast,19,130,4.35
Fish - mixed reef a,East coast,165,2239,40.09
Fish - mixed reef b,East coast,9,84,0.89
Fish - unspecified,East coast,452,13894,257.19
Fish - wings unspecified,East coast,N/A,N/A,N/A
Flathead - sand,East coast,N/A,N/A,N/A
Flathead - unspecified,East coast,148,4591,32.09
Flounder - unspecified,East coast,58,1254,4.88
Garfish - unspecified,East coast,N/A,N/A,N/A
Gemfish,East coast,N/A,N/A,N/A
Goat fish,East coast,65,1533,20.1
Greasy and School prawns,East coast,N/A,N/A,N/A
Grinners,East coast,N/A,N/A,N/A
Grunter - unspecified,East coast,12,47,2.47
Guitarfishes - shovelnose unsp,East coast,N/A,N/A,N/A
Hardyhead,East coast,N/A,N/A,N/A
Herring - koningsberger's,East coast,N/A,N/A,N/A
Herring - wolf,East coast,N/A,N/A,N/A
Hussar - unspecified,East coast,5,33,0.53
Jew fish - mulloway,East coast,89,507,12.98
Jew fish - silver,East coast,20,54,3.21
Jew fish - unspecified,East coast,45,253,7.69
Jobfish - gold banded,East coast,N/A,N/A,N/A
Jobfish - green,East coast,N/A,N/A,N/A
Jobfish - rosy,East coast,5,29,0.53
Jobfish - unspecified,East coast,19,56,2.26
Kingfish - black,East coast,32,71,1.27
Kingfish - unspecified,East coast,7,53,3.2
Kingfish - yellowtail,East coast,22,265,22.98
Leather jacket/triggerfish,East coast,N/A,N/A,N/A
Lobster - champagne (red),East coast,291,27884,544.77
Lobster - cray tails,East coast,71,456,41.01
Lobster - slipper,East coast,183,2042,17.37
Lobster - tropical rock,East coast,49,727,7.62
Lobster - unspecified,East coast,146,2573,186.07
Mackerel - grey,East coast,46,297,4.84
Mackerel - school,East coast,N/A,N/A,N/A
Mackerel - shark,East coast,N/A,N/A,N/A
Mackerel - spanish,East coast,38,542,18.92
Mackerel - spotted,East coast,6,17,3.96
Mackerel - unspecified,East coast,110,769,17.11
Mangrove jack,East coast,18,53,0.87
Mantis shrimp - unspecified,East coast,255,11823,101.31
Mullet - fantail/silver,East coast,N/A,N/A,N/A
Mullet - tiger / flat tail,East coast,N/A,N/A,N/A
Mullet - unspecified,East coast,23,84,3.78
Nannygai - large mouth,East coast,39,136,2.79
Nannygai - small mouth,East coast,N/A,N/A,N/A
Nannygai - unspecified,East coast,24,53,2.68
Octopus - unspecified,East coast,555,82943,540.4
Painted sweetlip,East coast,18,105,0.91
Perch - moses,East coast,N/A,N/A,N/A
Perch - pearl,East coast,35,176,4.09
Pilchard/sardine - unspecified,East coast,N/A,N/A,N/A
Pink fish,East coast,N/A,N/A,N/A
Pipehorse - dunkers,East coast,241,15979,4.01
Pipehorse - pallid,East coast,238,12369,4.84
Pomfret - unspecified,East coast,10,12,0.15
Prawn -  red spot & blue leg k,East coast,448,29209,"1,699.15"
Prawn - banana,East coast,904,143664,"16,715.27"
Prawn - bay,East coast,664,160945,"6,891.53"
Prawn - blue leg king,East coast,413,71074,"3,156.84"
Prawn - clicker,East coast,66,1820,16.35
Prawn - coral,East coast,626,54276,"1,434.17"
Prawn - eastern king,East coast,591,403664,"54,357.73"
Prawn - endeavour,East coast,860,608220,"28,706.63"
Prawn - greasy,East coast,264,22756,"1,708.34"
Prawn - hardback,East coast,51,1093,27.59
Prawn - japanese king,East coast,21,166,14.97
Prawn - king,East coast,880,521623,"30,347.16"
Prawn - king+tiger,East coast,10,284,8.26
Prawn - leader,East coast,340,12010,232.19
Prawn - mixed bait,East coast,112,772,20.98
Prawn - red,East coast,23,57,1.44
Prawn - red spot king,East coast,424,88576,"5,523.29"
Prawn - royal red,East coast,18,113,23.96
Prawn - scarlet,East coast,16,246,34.86
Prawn - school,East coast,310,4559,688.36
Prawn - tiger,East coast,904,820168,"53,356.54"
Prawn - unspecified,East coast,632,46541,"1,305.69"
Queenfish - unspecified,East coast,9,16,0.51
Queensland halibut,East coast,N/A,N/A,N/A
Ray - eastern fiddler,East coast,103,1363,16.95
Ray - sting unspecified,East coast,37,402,5.42
Samson fish,East coast,6,66,1.07
Scad - unspecified,East coast,N/A,N/A,N/A
Scallop - mud,East coast,474,21557,"1,362.32"
Scallop - queen,East coast,7,49,28.48
Scallop - saucer,East coast,742,302636,"22,045.68"
Scallop - unspecified,East coast,315,11424,588.1
Seabream - Collar,East coast,N/A,N/A,N/A
Seahorse - unspecified,East coast,8,49,0.28
Shark - angel unspecified,East coast,N/A,N/A,N/A
Shark - australian blacktip,East coast,N/A,N/A,N/A
Shark - eastern shovel nose,East coast,N/A,N/A,N/A
Shark - fins unspecified,East coast,28,127,0.45
Shark - unspecified,East coast,428,15223,294.75
Shark - wobbegong,East coast,N/A,N/A,N/A
Silver biddies,East coast,6,72,0.72
Snapper - unspecified tropical,East coast,26,132,2.63
Snapper (squire),East coast,78,515,19.28
Spinefoot,East coast,10,305,4.35
Squid - unspecified,East coast,827,366169,"4,213.73"
Steelback,East coast,N/A,N/A,N/A
striped seapike,East coast,6,22,0.18
Surf red fish,East coast,N/A,N/A,N/A
Sweetlip - unspecified,East coast,64,289,6.73
Tailor,East coast,7,215,6.16
Threadfin - blue,East coast,20,75,1.01
Threadfin - king,East coast,N/A,N/A,N/A
Threadfin - striped,East coast,N/A,N/A,N/A
Threadfin - unspecified,East coast,10,34,0.19
Threadfin bream,East coast,5,14,0.15
Trevally - black,East coast,13,91,0.48
Trevally - giant,East coast,N/A,N/A,N/A
Trevally - unspecified,East coast,58,1108,30.86
Tuna - albacore,East coast,14,15,0.65
Tuna - skipjack,East coast,36,191,12.86
Tuna - unspecified,East coast,43,565,34.57
Tuna - yellowfin,East coast,N/A,N/A,N/A
Tusk fish - unspecified,East coast,40,163,1.75
Unknown,East coast,281,15832,862.67
Weever - bar-faced,East coast,N/A,N/A,N/A
Whiptail - false,East coast,16,169,2.39
Whiting - stout,East coast,120,10027,"12,207.71"
Whiting - summer,East coast,51,527,52.85
Whiting - trumpeter,East coast,193,11440,"1,048.05"
Whiting - unspecified,East coast,393,32283,"1,763.69"
Wrasse - sling-jaw,East coast,N/A,N/A,N/A
Wrasse - unspecified,East coast,N/A,N/A,N/A
Yellowtail Scad,East coast,5,315,16.93
Amberjack Total,,37,111,3.15
Bait fish Total,,65,451,14.93
Barramundi Total,,11,31,1.36
Bat fish - hump headed Total,,N/A,N/A,N/A
Blue eye trevalla Total,,N/A,N/A,N/A
Bonito - unspecified Total,,N/A,N/A,N/A
Bream - black (luderick) Total,,N/A,N/A,N/A
Bream - bony (herring) Total,,N/A,N/A,N/A
Bream - unspecified Total,,24,79,1.47
Bream - yellowfinned Total,,N/A,N/A,N/A
Bug - honey Total,,115,1314,30.24
Bugs - Balmain Total,,567,163562,"1,849.42"
Bugs - moreton bay Total,,861,720735,"16,185.82"
Bugs - unspecified Total,,441,20677,309.89
Butter fish - striped Total,,13,64,0.22
Butterflybream -  unspecified Total,,340,33424,280.52
Butterflybream - theodore's Total,,N/A,N/A,N/A
Cod - bar Total,,N/A,N/A,N/A
Cod - barramundi Total,,N/A,N/A,N/A
Cod - coral Total,,N/A,N/A,N/A
Cod - greasy Total,,N/A,N/A,N/A
Cod - maori Total,,8,47,0.66
Cod - unspecified Total,,132,443,6.08
Coral trout Total,,199,2121,55.06
Crab - blue swimmer Total,,796,283457,"2,315.69"
Crab - coral Total,,11,53,0.34
Crab - Mud Total,,144,840,14.38
Crab - spanner Total,,27,180,26.17
Crab - three spot Total,,472,45198,423.53
Crab - unspecified Total,,659,108951,"1,785.72"
Cuttlefish Total,,653,206569,944.87
Dart - unspecified Total,,N/A,N/A,N/A
Dolphin fish Total,,N/A,N/A,N/A
Eel (marine) Total,,N/A,N/A,N/A
Emperor - red Total,,98,536,13.62
Emperor - red throat Total,,41,366,6.37
Emperor - reticulated Total,,N/A,N/A,N/A
Emperor - spangled Total,,33,210,2.9
Fish - mixed reef Total,,19,130,4.35
Fish - mixed reef a Total,,167,2261,40.58
Fish - mixed reef b Total,,9,84,0.89
Fish - unspecified Total,,456,14218,265.58
Fish - wings unspecified Total,,N/A,N/A,N/A
Flathead - sand Total,,N/A,N/A,N/A
Flathead - unspecified Total,,149,4874,34.69
Flounder - unspecified Total,,59,1318,5.09
Garfish - unspecified Total,,5,26,1.8
Gemfish Total,,N/A,N/A,N/A
Goat fish Total,,65,1564,20.23
Greasy and School prawns Total,,N/A,N/A,N/A
Grinners Total,,N/A,N/A,N/A
Grunter - unspecified Total,,13,49,2.5
Guitarfishes - shovelnose unsp Total,,N/A,N/A,N/A
Hardyhead Total,,N/A,N/A,N/A
Herring - koningsberger's Total,,N/A,N/A,N/A
Herring - wolf Total,,N/A,N/A,N/A
Hussar - unspecified Total,,6,34,0.57
Jew fish - mulloway Total,,89,510,13.09
Jew fish - silver Total,,20,54,3.21
Jew fish - unspecified Total,,46,254,7.7
Jobfish - gold banded Total,,N/A,N/A,N/A
Jobfish - green Total,,N/A,N/A,N/A
Jobfish - rosy Total,,5,29,0.53
Jobfish - unspecified Total,,19,56,2.26
Kingfish - black Total,,33,72,1.28
Kingfish - unspecified Total,,7,59,3.73
Kingfish - yellowtail Total,,22,266,23.42
Leather jacket/triggerfish Total,,N/A,N/A,N/A
Lobster - champagne (red) Total,,291,27895,544.89
Lobster - cray tails Total,,72,459,41.09
Lobster - slipper Total,,183,2042,17.37
Lobster - tropical rock Total,,49,727,7.62
Lobster - unspecified Total,,149,2593,187.6
Mackerel - grey Total,,46,303,4.88
Mackerel - school Total,,N/A,N/A,N/A
Mackerel - shark Total,,N/A,N/A,N/A
Mackerel - spanish Total,,39,573,20.88
Mackerel - spotted Total,,6,17,3.96
Mackerel - unspecified Total,,111,774,17.15
Mangrove jack Total,,18,53,0.87
Mantis shrimp - unspecified Total,,255,11840,101.46
Mullet - fantail/silver Total,,N/A,N/A,N/A
Mullet - tiger / flat tail Total,,N/A,N/A,N/A
Mullet - unspecified Total,,24,88,3.84
Nannygai - large mouth Total,,40,137,2.8
Nannygai - small mouth Total,,N/A,N/A,N/A
Nannygai - unspecified Total,,24,53,2.68
Octopus - unspecified Total,,557,83784,578.41
Painted sweetlip Total,,18,105,0.91
Perch - moses Total,,N/A,N/A,N/A
Perch - pearl Total,,36,177,4.1
Pilchard/sardine - unspecified Total,,N/A,N/A,N/A
Pink fish Total,,N/A,N/A,N/A
Pipehorse - dunkers Total,,241,15982,4.01
Pipehorse - pallid Total,,238,12372,4.84
Pomfret - unspecified Total,,10,12,0.15
Prawn -  red spot & blue leg k Total,,448,29356,"1,708.49"
Prawn - banana Total,,905,144214,"16,795.17"
Prawn - bay Total,,666,161227,"6,916.89"
Prawn - blue leg king Total,,414,71113,"3,159.15"
Prawn - clicker Total,,68,1825,16.42
Prawn - coral Total,,626,54416,"1,439.63"
Prawn - eastern king Total,,591,404311,"54,427.48"
Prawn - endeavour Total,,860,609940,"28,826.28"
Prawn - greasy Total,,264,22788,"1,709.31"
Prawn - hardback Total,,52,1096,27.63
Prawn - japanese king Total,,21,166,14.97
Prawn - king Total,,881,524455,"30,524.27"
Prawn - king+tiger Total,,11,285,8.3
Prawn - leader Total,,341,12038,233.38
Prawn - mixed bait Total,,113,776,21.07
Prawn - red Total,,23,57,1.44
Prawn - red spot king Total,,425,88623,"5,525.43"
Prawn - royal red Total,,18,113,23.96
Prawn - scarlet Total,,16,246,34.86
Prawn - school Total,,311,4616,695.63
Prawn - tiger Total,,905,822359,"53,533.16"
Prawn - unspecified Total,,640,46774,"1,328.82"
Queenfish - unspecified Total,,10,17,0.52
Queensland halibut Total,,N/A,N/A,N/A
Ray - eastern fiddler Total,,103,1368,17
Ray - sting unspecified Total,,40,415,5.56
Samson fish Total,,7,67,1.07
Scad - unspecified Total,,N/A,N/A,N/A
Scallop - mud Total,,477,21669,"1,409.38"
Scallop - queen Total,,7,49,28.48
Scallop - saucer Total,,742,303603,"22,198.46"
Scallop - unspecified Total,,315,11465,590.42
Seabream - Collar Total,,N/A,N/A,N/A
Seahorse - unspecified Total,,8,49,0.28
