year,area
2019,21.195
2019,25.376
2019,26.768
2019,26.9087
2019,27.5138
2019,30.0628
2019,30.7181
2019,31.1432
2019,33.4473
2019,34.7773
2019,39.1568
2019,39.7796
2019,39.9297
2019,41.2355
2019,41.2935
2019,45.1612
2019,45.2932
2019,46.9083
2019,52.662
2019,52.6813
2019,53.3619
2019,53.7854
2019,54.2414
2019,57.9576
2019,58.0883
2019,58.6282
2019,58.9257
2019,59.0811
2019,60.0222
2019,62.6184
2019,66.9276
2019,67.6117
2019,68.2182
2019,68.3209
2019,68.9519
2019,72.3693
2019,72.6228
2019,74.5815
2019,75.9311
2019,80.0992
2019,80.8221
2019,83.486
2019,84.8357
2019,84.946
2019,85.7768
2019,89.3026
2019,89.352
2019,92.6011
2019,92.9995
2019,94.4583
2019,95.482
2019,97.4635
2019,100.5639
2019,101.1339
2019,106.4639
2019,106.6337
2019,107.3071
2019,107.5752
2019,107.6072
2019,108.013
2019,110.7435
2019,111.7065
2019,112.687
2019,112.9623
2019,114.2721
2019,114.3291
2019,115.1024
2019,115.6004
2019,116.8569
2019,118.3831
2019,119.2414
2019,122.3715
2019,123.1572
2019,128.7608
2019,129.9207
2019,131.1826
2019,133.1017
2019,134.6953
2019,135.8334
2019,139.9987
2019,141.9634
2019,148.0334
2019,150.4626
2019,150.9331
2019,151.1071
2019,152.8248
2019,153.2636
2019,155.2584
2019,156.7942
2019,159.5998
2019,159.9831
2019,160.4936
2019,162.5087
2019,163.886
2019,164.819
2019,167.3446
2019,171.4975
2019,173.3882
2019,174.3217
2019,176.7079
2019,178.2468
2019,179.3148
2019,179.3405
2019,184.3665
2019,184.6545
2019,185.0902
2019,185.9296
2019,188.2067
2019,189.5494
2019,192.6636
2019,195.4507
2019,195.9236
2019,198.1714
2019,198.2639
2019,198.4139
2019,199.8311
2019,202.443
2019,202.6153
2019,202.783
2019,203.7608
2019,210.8137
2019,211.4262
2019,217.0868
2019,221.5192
2019,226.2648
2019,229.4937
2019,231.0926
2019,231.2187
2019,231.3158
2019,231.5245
2019,232.7742
2019,233.2266
2019,233.456
2019,234.5037
2019,238.8835
2019,240.5646
2019,242.8914
2019,243.3745
2019,243.5858
2019,251.1791
2019,252.0299
2019,253.6633
2019,254.5132
2019,254.6396
2019,254.8041
2019,260.9919
2019,261.1554
2019,262.2338
2019,262.9746
2019,268.666
2019,270.4553
2019,273.2233
2019,274.0716
2019,274.4312
2019,277.6783
2019,283.961
2019,284.8312
2019,285.9244
2019,286.0199
2019,286.4566
2019,287.8132
2019,290.3828
2019,291.0842
2019,299.9171
2019,305.477
2019,310.8494
2019,314.4624
2019,321.0875
2019,328.0749
2019,331.7517
2019,332.6318
2019,337.3611
2019,340.6056
2019,342.6256
2019,343.8087
2019,343.9434
2019,344.8063
2019,345.3174
2019,346.544
2019,349.1968
2019,351.5044
2019,359.142
2019,365.3528
2019,368.022
2019,378.065
2019,379.7101
2019,380.4022
2019,384.7088
2019,394.9243
2019,400.4837
2019,414.4415
2019,419.9228
2019,422.8534
2019,427.1883
2019,429.1874
2019,446.2539
2019,449.6152
2019,472.8698
2019,492.3496
2019,502.5018
2019,508.4984
2019,515.3503
2019,519.2234
2019,520.0707
2019,521.5624
2019,529.1611
2019,532.2638
2019,551.8057
2019,565.2764
2019,626.8373
2019,626.9958
2019,631.1938
2019,644.4402
2019,650.63
2019,668.0291
2019,669.669
2019,680.825
2019,708.0196
2019,745.3821
2019,746.1045
2019,752.4607
2019,771.0594
2019,775.5598
2019,804.047
2019,849.3558
2019,861.892
2019,864.134
2019,871.486
2019,878.0759
2019,910.7816
2019,935.1531
2019,941.3972
2019,968.4547
2019,973.4405
2019,983.6586
2019,1022.776
2019,1024.215
2019,1096.007
2019,1100.909
2019,1155.194
2019,1201.874
2019,1218.251
2019,1275.568
2019,1305.51
2019,1306.951
2019,1320.571
2019,1324.705
2019,1362.48
2019,1406.455
2019,1472.729
2019,1495.223
2019,1580.112
2019,1592.8464
2019,1717.122
2019,1729.299
2019,1736.796
2019,1905.797
2019,2133.044
2019,2134.354
2019,2243.4524
2019,2290.518
2019,2468.311
2019,2805.668
2019,2874.664
2019,3421.42
2019,4244.289
2019,4263.074
2019,4754.851
1995,38.47
1995,314
1995,201
1995,201
1995,94.99
1996,449
1996,637.4
1996,103.6
1998,6.3
1998,1256
1998,112.3
1998,38.5
1998,19.6
1998,7.1
1998,1333.3
1999,28.3
1999,19.6
1999,28.3
1999,109.9
1999,12.6
1999,38.5
1999,23.6
1999,38.5
1999,50.2
1999,50.2
1999,1681.25
2000,176.6
2000,2029.2
2000,38.5
2000,112.3
2000,186.8
2000,69.1
2001,113
2001,153.9
2001,2041.8
2001,28.3
2001,12.6
2001,12.6
2001,176.6
2001,113
2001,50.2
2001,113
2001,113
2001,176.6
2001,19.6
2001,19.6
2001,78.5
2001,226.9
2001,50.2
2001,63.6
2001,78.5
2001,254.3
2001,113
2001,153.9
2001,132.7
2001,63.6
2001,63.6
2002,254.3
2002,78.5
2002,226.9
2002,201
2002,132.7
2002,314
2002,176.6
2002,132.7
2002,78.5
2002,63.6
2002,153.9
2002,254.3
2002,415.3
2002,452.2
2002,314
2002,660.2
2002,113
2002,2921
2002,254.3
2002,153.9
2002,379.9
2002,153.9
2002,283.4
2002,346.2
2002,78.5
2002,283.4
2002,283.4
2002,283.4
2002,176.6
2002,226.9
2002,226.9
